txId,in_degree,out_degree,total_degree
230425980,1.0,1.0,2.0
5530458,1.0,1.0,2.0
232022460,1.0,2.0,3.0
232438397,160.0,1.0,161.0
230460314,2.0,8.0,10.0
230459870,4.0,6.0,10.0
230333930,0.0,2.0,2.0
230595899,2.0,1.0,3.0
232013274,0.0,2.0,2.0
232029206,59.0,1.0,60.0
232344069,0.0,2.0,2.0
27553029,1.0,1.0,2.0
36411953,1.0,1.0,2.0
230405052,2.0,1.0,3.0
34194980,1.0,2.0,3.0
5529846,2.0,2.0,4.0
3881097,1.0,1.0,2.0
232457116,1.0,1.0,2.0
230409257,1.0,1.0,2.0
32877982,1.0,1.0,2.0
230351738,0.0,2.0,2.0
195218118,1.0,1.0,2.0
88008478,0.0,1.0,1.0
232012569,8.0,2.0,10.0
232412408,1.0,1.0,2.0
232412405,1.0,0.0,1.0
232038018,0.0,2.0,2.0
232470342,6.0,1.0,7.0
2925426,1.0,2.0,3.0
230550393,21.0,0.0,21.0
232051089,1.0,2.0,3.0
232470704,3.0,0.0,3.0
233591710,1.0,1.0,2.0
234439913,1.0,2.0,3.0
232945017,1.0,2.0,3.0
94251207,14.0,0.0,14.0
6595740,1.0,1.0,2.0
79840192,1.0,0.0,1.0
212704383,1.0,1.0,2.0
212366182,1.0,1.0,2.0
69254632,1.0,1.0,2.0
230595355,2.0,1.0,3.0
166890641,2.0,1.0,3.0
82304496,2.0,1.0,3.0
232033533,0.0,2.0,2.0
230470022,1.0,1.0,2.0
230598493,0.0,2.0,2.0
43560505,49.0,1.0,50.0
14878322,1.0,1.0,2.0
230415750,1.0,2.0,3.0
232073372,1.0,2.0,3.0
75604335,1.0,1.0,2.0
230473487,0.0,2.0,2.0
7089694,4.0,1.0,5.0
231179595,0.0,1.0,1.0
3307463,2.0,0.0,2.0
230658679,0.0,2.0,2.0
232074274,1.0,1.0,2.0
5234549,2.0,1.0,3.0
231177927,1.0,0.0,1.0
232431877,1.0,2.0,3.0
2758467,106.0,0.0,106.0
81273879,1.0,1.0,2.0
232437171,3.0,0.0,3.0
3878856,0.0,1.0,1.0
3878886,1.0,1.0,2.0
231182296,1.0,2.0,3.0
14660781,1.0,1.0,2.0
13334987,1.0,1.0,2.0
5530452,1.0,0.0,1.0
230519287,1.0,1.0,2.0
194810163,1.0,0.0,1.0
230423321,1.0,2.0,3.0
232399276,1.0,2.0,3.0
230659456,4.0,2.0,6.0
230658142,134.0,0.0,134.0
230347386,1.0,1.0,2.0
37233982,1.0,1.0,2.0
230427468,1.0,2.0,3.0
43358239,0.0,1.0,1.0
230528714,1.0,1.0,2.0
75605182,1.0,1.0,2.0
75604052,1.0,1.0,2.0
230585122,0.0,2.0,2.0
231208959,1.0,1.0,2.0
230455950,1.0,2.0,3.0
2881274,97.0,0.0,97.0
232658952,1.0,2.0,3.0
232658962,1.0,2.0,3.0
230530291,1.0,2.0,3.0
2881273,143.0,0.0,143.0
75604616,1.0,1.0,2.0
37232637,2.0,1.0,3.0
230531551,1.0,2.0,3.0
4619363,1.0,1.0,2.0
230516010,3.0,10.0,13.0
230516478,1.0,1.0,2.0
232441583,1.0,1.0,2.0
232441589,1.0,1.0,2.0
5488136,1.0,1.0,2.0
27553759,1.0,1.0,2.0
5529367,1.0,2.0,3.0
232467632,4.0,0.0,4.0
230658273,1.0,2.0,3.0
230658517,1.0,2.0,3.0
231181128,1.0,2.0,3.0
232453404,1.0,1.0,2.0
232353601,1.0,2.0,3.0
230447764,1.0,1.0,2.0
230423018,1.0,2.0,3.0
232392936,1.0,1.0,2.0
234419729,1.0,2.0,3.0
152498092,2.0,1.0,3.0
230531146,1.0,2.0,3.0
230545782,1.0,2.0,3.0
230415003,1.0,1.0,2.0
230414561,1.0,1.0,2.0
230453429,0.0,2.0,2.0
230459154,1.0,1.0,2.0
230425284,1.0,2.0,3.0
83431059,1.0,1.0,2.0
230530225,1.0,2.0,3.0
230095969,1.0,1.0,2.0
230440353,2.0,2.0,4.0
230440535,1.0,1.0,2.0
230440534,2.0,1.0,3.0
232022496,1.0,2.0,3.0
232022773,1.0,1.0,2.0
230348238,0.0,2.0,2.0
3409584,0.0,1.0,1.0
89273,1.0,288.0,289.0
3906238,1.0,0.0,1.0
230973596,1.0,1.0,2.0
232455956,1.0,1.0,2.0
38062994,0.0,1.0,1.0
80044108,3.0,0.0,3.0
230423318,0.0,2.0,2.0
146601928,1.0,1.0,2.0
232368272,1.0,2.0,3.0
232453639,2.0,1.0,3.0
232453630,1.0,1.0,2.0
51860219,1.0,0.0,1.0
