source_time,target_time,edge_count
1,1,9164
2,2,5241
3,3,8316
4,4,8180
5,5,8623
6,6,5242
7,7,7253
8,8,5186
9,9,5939
10,10,8588
11,11,4656
12,12,2213
13,13,4827
14,14,2078
15,15,3823
16,16,3120
17,17,3650
18,18,2115
19,19,3838
20,20,4755
21,21,3959
22,22,7014
23,23,4584
24,24,5124
25,25,2619
26,26,2690
27,27,1168
28,28,1717
29,29,4541
30,30,2561
31,31,3049
32,32,4952
33,33,3366
34,34,2692
35,35,6351
36,36,7813
37,37,3849
38,38,3094
39,39,2914
40,40,5246
41,41,6093
42,42,8493
43,43,5950
44,44,5551
45,45,6673
46,46,3866
47,47,5748
48,48,3284
49,49,2587
