time_step,illicit,licit,unknown,labeled,illicit_rate
1,17,2130,5733,2147,0.007918025151374011
2,18,1099,3427,1117,0.01611459265890779
3,11,1268,5342,1279,0.008600469116497263
4,30,1410,4253,1440,0.020833333333333332
5,8,1874,4921,1882,0.004250797024442083
6,5,480,3843,485,0.010309278350515464
7,102,1101,4845,1203,0.08478802992518704
8,67,1098,3292,1165,0.05751072961373391
9,248,530,4218,778,0.31876606683804626
10,18,954,5755,972,0.018518518518518517
11,131,565,3600,696,0.1882183908045977
12,16,490,1541,506,0.03162055335968379
13,291,518,3719,809,0.35970333745364647
14,43,374,1605,417,0.10311750599520383
15,147,471,3021,618,0.23786407766990292
16,128,402,2445,530,0.24150943396226415
17,99,712,2574,811,0.1220715166461159
18,52,337,1587,389,0.13367609254498714
19,80,665,2761,745,0.10738255033557047
20,260,640,3391,900,0.28888888888888886
21,100,541,2896,641,0.15600624024961
22,158,1605,4131,1763,0.08961996596710153
23,53,1134,2978,1187,0.04465037910699242
24,137,989,3466,1126,0.1216696269982238
25,118,476,1720,594,0.19865319865319866
26,96,421,2006,517,0.18568665377176016
27,24,182,883,206,0.11650485436893204
28,85,199,1369,284,0.2992957746478873
29,329,845,3101,1174,0.28023850085178875
30,83,441,1959,524,0.15839694656488548
31,106,604,2106,710,0.14929577464788732
32,342,981,3202,1323,0.2585034013605442
33,23,418,2710,441,0.05215419501133787
34,37,478,1971,515,0.07184466019417475
35,182,1159,4166,1341,0.13571961222967935
36,33,1675,4685,1708,0.019320843091334895
37,40,458,2808,498,0.08032128514056225
38,111,645,2135,756,0.14682539682539683
39,81,1102,1577,1183,0.06846999154691462
40,112,1099,3270,1211,0.09248554913294797
41,116,1016,4210,1132,0.10247349823321555
42,239,1915,4986,2154,0.11095636025998143
43,24,1346,3693,1370,0.017518248175182483
44,24,1567,3384,1591,0.01508485229415462
45,5,1216,4377,1221,0.004095004095004095
46,2,710,2807,712,0.0028089887640449437
47,22,824,4275,846,0.026004728132387706
48,36,435,2483,471,0.07643312101910828
49,56,420,1978,476,0.11764705882352941
