rank,feature,importance
1,feature_53,0.09082452
2,feature_40,0.06491314
3,feature_46,0.058717288
4,feature_90,0.049645685
5,feature_163,0.03915388
6,feature_5,0.038705252
7,feature_103,0.034857735
8,feature_59,0.03209926
9,feature_55,0.0279555
10,feature_100,0.027906263
11,feature_136,0.02420479
12,feature_23,0.019944135
13,feature_37,0.017962832
14,feature_47,0.017948862
15,feature_14,0.016354324
16,feature_159,0.01401824
17,feature_18,0.0138983065
18,feature_161,0.0137188155
19,feature_29,0.013627056
20,feature_81,0.01279946
21,feature_35,0.0124786245
22,feature_49,0.012285338
23,feature_65,0.011751653
24,feature_76,0.011323564
25,feature_41,0.011184743
26,feature_61,0.011057298
27,feature_25,0.010628672
28,feature_22,0.010363467
29,feature_158,0.009217604
30,feature_80,0.008239669
31,feature_2,0.0076413723
32,feature_132,0.0072138747
33,feature_20,0.0070850775
34,feature_36,0.006594079
35,feature_16,0.0064171175
36,feature_43,0.0062638703
37,feature_4,0.006181308
38,feature_125,0.0054875417
39,feature_73,0.0052038273
40,feature_58,0.004798387
41,feature_86,0.0047899876
42,feature_6,0.0046248515
43,feature_3,0.0044851652
44,feature_52,0.004414268
45,feature_127,0.0043248194
46,feature_139,0.0033538917
47,feature_64,0.0033430783
48,feature_13,0.003322239
49,feature_101,0.003235023
50,feature_48,0.0032065206
51,feature_54,0.003105836
52,feature_75,0.0030841792
53,feature_9,0.0030138127
54,feature_8,0.0030082155
55,feature_77,0.0029967905
56,feature_154,0.0028180282
57,feature_31,0.0027653384
58,feature_89,0.0027610406
59,feature_162,0.0026178232
60,feature_66,0.0025839864
61,feature_102,0.0025675655
62,feature_30,0.0025045932
63,feature_137,0.002492291
64,feature_34,0.0024707324
65,feature_126,0.0023450037
66,feature_94,0.0022161086
67,feature_83,0.0021733453
68,feature_121,0.0021692042
69,feature_142,0.0020994933
70,feature_24,0.0020984425
71,feature_151,0.0019921076
72,feature_164,0.0019798807
73,feature_42,0.0019559253
74,feature_85,0.0019336169
75,feature_70,0.0018457213
76,feature_71,0.0018452232
77,feature_155,0.0018281974
78,feature_67,0.0018186357
79,feature_128,0.0017968465
80,feature_45,0.0017734892
81,feature_152,0.001750347
82,feature_160,0.001743739
83,feature_120,0.0017419492
84,feature_99,0.001719767
85,feature_79,0.0017190616
86,feature_165,0.0017063359
87,feature_19,0.0017032162
88,feature_148,0.0016837867
89,feature_11,0.0016331469
90,feature_149,0.0016206305
91,feature_138,0.0016095919
92,feature_131,0.0016062815
93,feature_130,0.001598775
94,feature_1,0.0015586176
95,feature_91,0.0015439545
96,feature_119,0.0015316023
97,feature_145,0.0015010935
98,feature_10,0.0014581687
99,feature_17,0.0014515386
100,feature_124,0.0014219568
101,feature_62,0.0014077051
102,feature_107,0.0014023018
103,feature_98,0.0013986545
104,feature_28,0.0013885973
105,feature_92,0.001368128
106,feature_115,0.0013657035
107,feature_106,0.0013521742
108,feature_144,0.0013513649
109,feature_95,0.0013367231
110,feature_123,0.0012744411
111,feature_143,0.0012646773
112,feature_114,0.0012543064
113,feature_84,0.0012496591
114,feature_27,0.0012414352
115,feature_129,0.0012397293
116,feature_105,0.0012359902
117,feature_44,0.0012238391
118,feature_72,0.001196776
119,feature_96,0.0011769878
120,feature_157,0.0011508138
121,feature_113,0.0011354167
122,feature_74,0.0011221888
123,feature_12,0.0011194794
124,feature_146,0.0011046807
125,feature_26,0.0010959819
126,feature_56,0.001082509
127,feature_82,0.0010680119
128,feature_97,0.0009916406
129,feature_133,0.00095283904
130,feature_88,0.0009359207
131,feature_104,0.0009167358
132,feature_32,0.0008956494
133,feature_78,0.0008851548
134,feature_147,0.00087738165
135,feature_140,0.00087203784
136,feature_141,0.00086667546
137,feature_156,0.0008441066
138,feature_38,0.0008335435
139,feature_51,0.000827179
140,feature_109,0.00080711464
141,feature_153,0.0007953048
142,feature_60,0.000774955
143,feature_122,0.00077163836
144,feature_112,0.00077161146
145,feature_108,0.0007134195
146,feature_116,0.00070610846
147,feature_110,0.00068168575
148,feature_150,0.000668439
149,feature_111,0.00064397225
150,feature_134,0.00063981145
151,feature_57,0.00061225664
152,feature_93,0.0006021041
153,feature_135,0.0005900363
154,feature_118,0.00050045754
155,feature_21,0.0004865461
156,feature_33,0.0004831633
157,feature_50,0.0004702775
158,feature_87,0.00041787364
159,feature_117,0.00040593362
160,feature_63,0.00019647893
161,feature_68,0.00012005193
162,feature_69,9.630379e-05
163,feature_15,0.0
164,feature_7,0.0
165,feature_39,0.0
