txId,time_step,in_degree,out_degree,total_degree,degree_imbalance,absolute_degree_imbalance,unique_out_neighbors,unique_in_neighbors,unique_neighbors,has_incoming,has_outgoing,is_source,is_sink,is_isolated,in_degree_ratio,out_degree_ratio
230425980,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
5530458,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
232022460,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
232438397,1,160,1,161,-159,159,1,160,161,1,1,0,0,0,0.9937888198757764,0.006211180124223602
230460314,1,2,8,10,6,6,8,2,10,1,1,0,0,0,0.2,0.8
230459870,1,4,6,10,2,2,6,4,10,1,1,0,0,0,0.4,0.6
230333930,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
230595899,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
232013274,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
232029206,1,59,1,60,-58,58,1,59,60,1,1,0,0,0,0.9833333333333333,0.016666666666666666
232344069,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
27553029,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
36411953,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230405052,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
34194980,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
5529846,1,2,2,4,0,0,2,2,4,1,1,0,0,0,0.5,0.5
3881097,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
232457116,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230409257,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
32877982,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230351738,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
195218118,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
88008478,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0.0,1.0
232012569,1,8,2,10,-6,6,2,8,10,1,1,0,0,0,0.8,0.2
232412408,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
232412405,1,1,0,1,-1,1,0,1,1,1,0,0,1,0,1.0,0.0
232038018,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
232470342,1,6,1,7,-5,5,1,6,7,1,1,0,0,0,0.8571428571428571,0.14285714285714285
2925426,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
230550393,1,21,0,21,-21,21,0,21,21,1,0,0,1,0,1.0,0.0
232051089,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
232470704,1,3,0,3,-3,3,0,3,3,1,0,0,1,0,1.0,0.0
233591710,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
234439913,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
232945017,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
94251207,1,14,0,14,-14,14,0,14,14,1,0,0,1,0,1.0,0.0
6595740,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
79840192,1,1,0,1,-1,1,0,1,1,1,0,0,1,0,1.0,0.0
212704383,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
212366182,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
69254632,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230595355,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
166890641,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
82304496,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
232033533,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
230470022,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230598493,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
43560505,1,49,1,50,-48,48,1,49,50,1,1,0,0,0,0.98,0.02
14878322,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230415750,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
232073372,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
75604335,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
230473487,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
7089694,1,4,1,5,-3,3,1,4,5,1,1,0,0,0,0.8,0.2
231179595,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0.0,1.0
3307463,1,2,0,2,-2,2,0,2,2,1,0,0,1,0,1.0,0.0
230658679,1,0,2,2,2,2,2,0,2,0,1,1,0,0,0.0,1.0
232074274,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
5234549,1,2,1,3,-1,1,1,2,3,1,1,0,0,0,0.6666666666666666,0.3333333333333333
231177927,1,1,0,1,-1,1,0,1,1,1,0,0,1,0,1.0,0.0
232431877,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
2758467,1,106,0,106,-106,106,0,106,106,1,0,0,1,0,1.0,0.0
81273879,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
232437171,1,3,0,3,-3,3,0,3,3,1,0,0,1,0,1.0,0.0
3878856,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0.0,1.0
3878886,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0.5,0.5
231182296,1,1,2,3,1,1,2,1,3,1,1,0,0,0,0.3333333333333333,0.6666666666666666
