rank,feature,importance,group
1,feature_53,0.079511985,original
2,feature_46,0.058951296,original
3,feature_90,0.05343846,original
4,feature_41,0.043936815,original
5,feature_103,0.035359588,original
6,feature_40,0.034820743,original
7,feature_136,0.03333338,original
8,feature_59,0.032205414,original
9,feature_100,0.029154336,original
10,feature_55,0.028794238,original
11,feature_163,0.028554834,original
12,feature_22,0.021423057,original
13,feature_5,0.021414548,original
14,feature_159,0.020832412,original
15,feature_23,0.019979563,original
16,feature_47,0.016740205,original
17,feature_18,0.0155130895,original
18,feature_14,0.014852322,original
19,feature_161,0.011785866,original
20,feature_80,0.010501293,original
21,feature_37,0.010354121,original
22,feature_76,0.009899805,original
23,feature_65,0.00924961,original
24,feature_109,0.009227743,original
25,feature_81,0.008842234,original
26,feature_61,0.008292636,original
27,feature_132,0.008220574,original
28,feature_2,0.008048659,original
29,feature_49,0.0075834724,original
30,feature_160,0.0071246745,original
31,feature_43,0.0071240785,original
32,feature_62,0.0066561294,original
33,feature_16,0.0062306933,original
34,feature_21,0.005675912,original
35,feature_58,0.0055810125,original
36,feature_29,0.0053935996,original
37,feature_20,0.0051023737,original
38,feature_66,0.005037594,original
39,feature_52,0.005029343,original
40,feature_125,0.0048334114,original
41,feature_127,0.0047618253,original
42,feature_162,0.0046873805,original
43,feature_101,0.0045933546,original
44,feature_67,0.004452372,original
45,unique_neighbors,0.0043395595,graph
46,feature_6,0.0042281738,original
47,feature_3,0.0041537555,original
48,feature_152,0.0041135936,original
49,feature_106,0.004093384,original
50,feature_139,0.0040673916,original
51,feature_35,0.0039094365,original
52,feature_77,0.0038321314,original
53,feature_158,0.003763052,original
54,feature_153,0.0036151502,original
55,feature_4,0.003512394,original
56,feature_64,0.0033686738,original
57,feature_13,0.0033405826,original
58,feature_8,0.0032449241,original
59,feature_89,0.0030008408,original
60,feature_102,0.002925495,original
61,feature_9,0.0029055763,original
62,feature_86,0.0028762594,original
63,feature_42,0.0028720065,original
64,feature_73,0.0028469025,original
65,feature_34,0.0027809385,original
66,feature_93,0.002763483,original
67,feature_54,0.002714745,original
68,feature_31,0.0027127133,original
69,feature_75,0.0025260835,original
70,feature_30,0.0024940688,original
71,feature_154,0.0024551381,original
72,feature_11,0.0024320963,original
73,feature_121,0.0024073957,original
74,feature_83,0.0023970425,original
75,feature_94,0.0023118474,original
76,feature_17,0.0023046474,original
77,feature_112,0.002300717,original
78,feature_48,0.0022977733,original
79,feature_99,0.0022745044,original
80,feature_142,0.002227023,original
81,feature_51,0.0021994319,original
82,feature_148,0.0021860793,original
83,feature_24,0.002184111,original
84,feature_157,0.002156714,original
85,feature_119,0.0021364486,original
86,feature_1,0.0020637503,original
87,feature_120,0.0020545507,original
88,feature_72,0.0019419505,original
89,feature_164,0.0019265522,original
90,feature_32,0.0019035814,original
91,feature_144,0.0018993457,original
92,feature_79,0.0018514046,original
93,feature_25,0.0018283166,original
94,feature_126,0.0018029365,original
95,feature_145,0.0017967587,original
96,feature_131,0.0017648088,original
97,total_degree,0.0017504401,graph
98,feature_165,0.001728916,original
99,feature_71,0.0017260703,original
100,feature_149,0.0016878762,original
101,feature_7,0.0016615813,original
102,feature_85,0.0016252882,original
103,feature_151,0.0016072645,original
104,feature_138,0.0015896609,original
105,feature_115,0.001581733,original
106,unique_out_neighbors,0.0015444326,graph
107,out_degree,0.001536043,graph
108,feature_95,0.0015346779,original
109,feature_124,0.0015077969,original
110,feature_19,0.0014847817,original
111,feature_122,0.0014631598,original
112,feature_82,0.0014614009,original
113,feature_137,0.0014350152,original
114,feature_26,0.001421559,original
115,feature_155,0.0014068253,original
116,feature_12,0.0013980813,original
117,feature_91,0.0013883088,original
118,feature_143,0.0013739198,original
119,feature_96,0.001369985,original
120,feature_146,0.0013663172,original
121,feature_105,0.0013203622,original
122,feature_130,0.001302771,original
123,feature_156,0.0012773065,original
124,degree_imbalance,0.0012677413,graph
125,feature_84,0.0012588387,original
126,feature_28,0.0012581084,original
127,feature_57,0.0012560181,original
128,feature_98,0.0012549937,original
129,unique_in_neighbors,0.0012396085,graph
130,feature_129,0.0012260774,original
131,feature_114,0.0012119994,original
132,feature_133,0.0011798433,original
133,feature_107,0.0011747623,original
134,feature_134,0.0011392039,original
135,feature_92,0.0011346496,original
136,feature_88,0.0011276877,original
137,feature_128,0.0011187306,original
138,feature_104,0.0011035091,original
139,feature_140,0.0010846155,original
140,feature_10,0.0010845846,original
141,feature_45,0.0010429642,original
142,in_degree,0.001013441,graph
143,feature_60,0.0010111249,original
144,feature_44,0.0010110283,original
145,feature_27,0.0010062421,original
146,feature_97,0.0009801137,original
147,feature_108,0.000976276,original
148,feature_113,0.0009697045,original
149,feature_110,0.00095893024,original
150,feature_74,0.0009491777,original
151,feature_78,0.00090954016,original
152,feature_38,0.0008520067,original
153,feature_70,0.0008209598,original
154,feature_33,0.00079146284,original
155,feature_123,0.00077239797,original
156,feature_39,0.0007551728,original
157,feature_56,0.0007062437,original
158,feature_135,0.0006855463,original
159,feature_116,0.0006714365,original
160,in_degree_ratio,0.00062132673,graph
161,feature_50,0.00061864906,original
162,feature_87,0.0006161123,original
163,feature_111,0.0006097762,original
164,out_degree_ratio,0.0005944095,graph
165,feature_147,0.00057859265,original
166,feature_150,0.0005706011,original
