rank,feature,importance,group
1,model_risk,0.22664557,neighborhood
2,neighborhood_vs_self_risk,0.10131683,neighborhood
3,incoming_median_risk,0.048118275,neighborhood
4,incoming_mean_risk,0.03822555,neighborhood
5,feature_46,0.023917861,original
6,feature_65,0.022296816,original
7,feature_22,0.017006768,original
8,feature_76,0.01596755,original
9,feature_81,0.0120405955,original
10,feature_59,0.009962287,original
11,feature_23,0.00984552,original
12,feature_55,0.009106768,original
13,neighborhood_mean_risk,0.008797879,neighborhood
14,feature_136,0.007639178,original
15,feature_5,0.0075692795,original
16,feature_95,0.0072361864,original
17,feature_53,0.007184976,original
18,feature_18,0.0071345237,original
19,feature_40,0.0068771476,original
20,feature_60,0.0064164684,original
21,feature_103,0.0058376705,original
22,feature_90,0.0058156564,original
23,feature_61,0.0057293526,original
24,feature_161,0.0056865877,original
25,feature_32,0.005615092,original
26,neighborhood_median_risk,0.005605789,neighborhood
27,feature_163,0.0055285688,original
28,feature_6,0.0053994525,original
29,feature_140,0.0053648385,original
30,feature_66,0.005168704,original
31,feature_3,0.0051085614,original
32,feature_10,0.0050560157,original
33,feature_1,0.005053691,original
34,neighborhood_max_risk,0.0050478703,neighborhood
35,feature_20,0.005026025,original
36,feature_85,0.0049787904,original
37,feature_147,0.004917318,original
38,feature_149,0.004584398,original
39,outgoing_median_risk,0.0045311665,neighborhood
40,feature_101,0.004409027,original
41,feature_47,0.0042889398,original
42,feature_16,0.0042763534,original
43,feature_14,0.0042709587,original
44,feature_106,0.0042277235,original
45,feature_100,0.0042060222,original
46,feature_126,0.004175578,original
47,incoming_max_risk,0.0040553706,neighborhood
48,high_risk_neighbor_fraction,0.0038442183,neighborhood
49,feature_13,0.0037030103,original
50,feature_144,0.0036627606,original
51,neighborhood_neighbor_count,0.0036457137,neighborhood
52,feature_49,0.0036182383,original
53,feature_8,0.0035932339,original
54,feature_64,0.0035628318,original
55,feature_78,0.003500499,original
56,feature_54,0.003497637,original
57,feature_17,0.003483251,original
58,feature_107,0.0034705442,original
59,feature_34,0.0034315207,original
60,feature_2,0.0034151995,original
61,outgoing_mean_risk,0.00333714,neighborhood
62,feature_43,0.0033195424,original
63,feature_41,0.0032994477,original
64,feature_25,0.0032648388,original
65,feature_102,0.0032528657,original
66,feature_158,0.003237143,original
67,feature_48,0.0032114405,original
68,feature_67,0.003146637,original
69,feature_119,0.0031395603,original
70,feature_162,0.0030378683,original
71,feature_69,0.0030242063,original
72,feature_105,0.0029776997,original
73,feature_58,0.0029771249,original
74,feature_109,0.0029769572,original
75,feature_19,0.0029351865,original
76,feature_50,0.0028857405,original
77,feature_112,0.0027981603,original
78,feature_80,0.0027800647,original
79,feature_128,0.0027759653,original
80,feature_151,0.0027715222,original
81,feature_31,0.0027303237,original
82,feature_62,0.0027172302,original
83,feature_127,0.0027095848,original
84,feature_121,0.0026811515,original
85,feature_11,0.002597001,original
86,outgoing_max_risk,0.0025939713,neighborhood
87,feature_77,0.002572018,original
88,feature_52,0.00256509,original
89,feature_86,0.0025379236,original
90,feature_139,0.002529986,original
91,outgoing_risk_neighbor_count,0.0025164278,neighborhood
92,feature_104,0.0025088752,original
93,feature_145,0.0024857565,original
94,feature_137,0.0024837053,original
95,feature_29,0.002475664,original
96,feature_57,0.0024464745,original
97,incoming_std_risk,0.002431641,neighborhood
98,feature_125,0.0023921116,original
99,feature_142,0.0023786942,original
100,feature_21,0.0023650369,original
101,feature_118,0.0023585903,original
102,feature_71,0.0023555472,original
103,outgoing_std_risk,0.0022364152,neighborhood
104,feature_9,0.0022087519,original
105,feature_99,0.002202431,original
106,feature_97,0.0021767872,original
107,feature_138,0.002167484,original
108,feature_113,0.0021339757,original
109,feature_124,0.0020828873,original
110,feature_63,0.0020818058,original
111,feature_115,0.002060253,original
112,feature_27,0.0020595118,original
113,feature_132,0.0020297158,original
114,feature_7,0.0020218894,original
115,feature_94,0.0020175977,original
116,feature_88,0.0019348518,original
117,feature_30,0.0019264842,original
118,feature_12,0.0019137649,original
119,feature_114,0.0019132949,original
120,feature_135,0.00190115,original
121,feature_108,0.0018596408,original
122,feature_143,0.0018389658,original
123,feature_73,0.0018342931,original
124,feature_156,0.0018298049,original
125,feature_91,0.0018097869,original
126,feature_84,0.0017874335,original
127,feature_70,0.0017719723,original
128,feature_130,0.0017346165,original
