threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,alerts,alert_rate
0.05,0.5885558583106267,0.6792452830188679,0.6306569343065693,10246,302,204,432,734,0.06562947067238913
0.1,0.6851549755301795,0.660377358490566,0.6725380304243395,10355,193,216,420,613,0.054810443490701
0.15,0.7365591397849462,0.6462264150943396,0.6884422110552764,10401,147,225,411,558,0.049892703862660946
0.2,0.7720306513409961,0.6336477987421384,0.696027633851468,10429,119,233,403,522,0.04667381974248927
0.25,0.8012048192771084,0.6273584905660378,0.7037037037037037,10449,99,237,399,498,0.04452789699570815
0.3,0.8168724279835391,0.6242138364779874,0.7076648841354723,10459,89,239,397,486,0.04345493562231759
0.35,0.8386411889596603,0.6210691823899371,0.7136404697380307,10472,76,241,395,471,0.0421137339055794
0.4,0.8509719222462203,0.6194968553459119,0.7170154686078253,10479,69,242,394,463,0.041398426323319026
0.45,0.8634361233480177,0.6163522012578616,0.7192660550458716,10486,62,244,392,454,0.040593705293276106
0.5,0.8786516853932584,0.6147798742138365,0.723404255319149,10494,54,245,391,445,0.03978898426323319
0.55,0.8861047835990888,0.6116352201257862,0.7237209302325581,10498,50,247,389,439,0.03925250357653791
0.6,0.897196261682243,0.6037735849056604,0.7218045112781954,10504,44,252,384,428,0.0382689556509299
0.65,0.9075829383886256,0.6022012578616353,0.724007561436673,10509,39,253,383,422,0.03773247496423462
0.7,0.9160671462829736,0.60062893081761,0.7255460588793922,10513,35,254,382,417,0.037285407725321885
0.75,0.927007299270073,0.5990566037735849,0.7277936962750716,10518,30,255,381,411,0.03674892703862661
0.8,0.943069306930693,0.5990566037735849,0.7326923076923076,10525,23,255,381,404,0.03612303290414878
0.85,0.9569620253164557,0.5943396226415094,0.7332686711930165,10531,17,258,378,395,0.03531831187410586
0.9,0.9715025906735751,0.589622641509434,0.7338551859099804,10537,11,261,375,386,0.03451359084406295
0.95,0.9787798408488063,0.5801886792452831,0.7285291214215203,10540,8,267,369,377,0.03370886981402003
